name,item_type,quantity,max_sellOrder,min_buyOrder,total_spend,total_income,total_profit
Simple Sapphire,item,43,1,2,43,86,43
Pyrelite Scissors,item,7,50,50,308,350,42
Essential Stone Diagrams,item,1,40,80,40,80,40
Fine Wispweave Filament,item,10,1,5,10,50,40
Infused Starbulb Seeds,item,100,25,25,2460,2500,40
Fine Parchment,item,20,3,5,60,100,40
Pyrelite Axe,item,5,50,50,210,250,40
Exquisite Crop Oil,item,100,20,20,1961,2000,39
Simple Ruby,item,47,2,2,56,94,38
Simple Woven Shirt,item,11,6,7,39,77,38
Sturdy Cloth Strip,item,1,1,30,1,30,29
Savory Mushroom Skewer,item,199,1,1,199,224,25
Fine Clay Lump,item,23,3,4,67,92,25
Beginner's Study Journal,item,1,1,25,1,25,24
Ferralith Frames,cargo,1,150,170,150,170,20
Exquisite Fish Oil,item,2,100,110,200,220,20
Fine Spool Of Thread,item,3,10,10,14,30,16
Infused Potter's Mix,item,13,3,3,23,39,16
Basic Chemical Catalyst,item,5,5,6,17,30,13
Peerless Crop Oil,item,32,20,20,630,640,10
Rough Leather Sheeting,cargo,2,45,50,90,100,10
Sturdy Plant Fiber,item,301,1,1,301,310,9
Exquisite Starbulb,item,189,4,4,748,756,8
Simple Woven Shorts,item,10,5,5,42,50,8
Deed: Pet Owl Gray,item,1,20,25,20,25,5
Fine Cleaned Pelt,item,1,5,6,5,6,1
Simple Woven Shoes,item,3,2,2,5,6,1
